Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
,No,Travel_Frequently,945,Research & Development,22.0,3,Medical,1,1043,,Female,82,3,3.0,Manufacturing Director,1,,10880,,1,Y,Yes,13,3,3,80,0,21,2.0,3,,6,,8
33.0,No,Non-Travel,1038,Sales,,1,Life Sciences,1,1044,2.0,Female,88,2,,Sales Representative,4,Single,2342,,0,Y,No,19,3,4,80,0,3,,2,,2,2.0,2
45.0,No,Travel_Rarely,1234,Sales,11.0,2,Life Sciences,1,1045,4.0,Female,90,3,4.0,Manager,4,,17650,5404.0,3,Y,No,13,3,2,80,1,26,,4,,3,1.0,1
,No,Non-Travel,1109,Research & Development,29.0,4,Medical,1,1046,,Female,69,3,1.0,Laboratory Technician,3,Single,4025,11135.0,9,Y,No,12,3,2,80,0,10,2.0,3,8.0,7,,7
34.0,No,Travel_Rarely,216,Sales,1.0,4,Marketing,1,1047,2.0,Male,75,4,,Sales Executive,4,Divorced,9725,12278.0,0,Y,No,11,3,4,80,1,16,2.0,2,,1,0.0,9
,No,Travel_Rarely,1089,Sales,,2,Technical Degree,1,1048,2.0,Male,66,3,3.0,Manager,4,Married,11904,11038.0,3,Y,Yes,14,3,3,80,1,14,1.0,1,6.0,4,,4
45.0,No,Travel_Rarely,788,Human Resources,24.0,4,Medical,1,1049,2.0,Male,36,3,,Human Resources,2,,2177,,1,Y,No,16,3,1,80,0,6,,3,6.0,3,,4
,No,Travel_Frequently,124,Sales,2.0,3,Marketing,1,1050,,Female,38,2,,Sales Executive,2,Married,7525,23537.0,2,Y,No,12,3,1,80,1,30,,3,15.0,7,,12
,Yes,Travel_Rarely,660,Research & Development,15.0,3,Other,1,1052,1.0,Male,81,3,2.0,Laboratory Technician,3,,4834,7858.0,7,Y,No,14,3,2,80,1,9,3.0,2,,0,0.0,0
26.0,Yes,Travel_Frequently,342,Research & Development,2.0,3,Life Sciences,1,1053,1.0,Male,57,3,,Research Scientist,1,,2042,15346.0,6,Y,Yes,14,3,2,80,1,6,2.0,3,3.0,2,,2
,No,Travel_Rarely,1333,Sales,10.0,4,Life Sciences,1,1055,,Female,87,3,1.0,Sales Representative,3,,2220,,1,Y,Yes,19,3,4,80,1,1,2.0,3,1.0,1,,0
28.0,No,Travel_Rarely,1144,Sales,10.0,1,Medical,1,1056,4.0,Male,74,3,,Sales Representative,2,Married,1052,,1,Y,No,22,4,2,80,0,1,5.0,3,1.0,0,0.0,0
,No,Travel_Frequently,1186,Research & Development,3.0,4,Other,1,1060,3.0,Male,44,3,,Research Scientist,3,Married,2821,2997.0,3,Y,No,16,3,1,80,1,8,2.0,3,,2,2.0,2
50.0,No,Travel_Rarely,1464,Research & Development,2.0,4,Medical,1,1061,,Male,62,3,5.0,Research Director,3,,19237,12853.0,2,Y,Yes,11,3,4,80,1,29,,2,,1,7.0,7
37.0,No,Travel_Rarely,124,Research & Development,3.0,3,Other,1,1062,4.0,Female,35,3,2.0,Healthcare Representative,2,Single,4107,13848.0,3,Y,No,15,3,1,80,0,8,3.0,2,,3,0.0,1
40.0,No,Travel_Rarely,300,Sales,26.0,3,Marketing,1,1066,3.0,Male,74,3,,Sales Executive,1,Married,8396,22217.0,1,Y,No,14,3,2,80,1,8,,2,7.0,7,7.0,5
,No,Travel_Frequently,921,Research & Development,1.0,1,Medical,1,1068,,Female,66,2,1.0,Research Scientist,3,Divorced,2007,,1,Y,No,13,3,3,80,2,5,5.0,3,5.0,3,,3
46.0,No,Travel_Rarely,430,Research & Development,1.0,4,Medical,1,1069,4.0,Male,40,3,5.0,Research Director,4,,19627,21445.0,9,Y,No,17,3,4,80,2,23,0.0,3,,2,2.0,2
,No,Travel_Rarely,1082,Sales,2.0,4,Life Sciences,1,1070,3.0,Female,41,2,3.0,Sales Executive,3,Married,10686,,6,Y,No,11,3,2,80,1,13,4.0,3,9.0,4,,0
56.0,No,Travel_Frequently,1240,Research & Development,9.0,3,Medical,1,1071,1.0,Female,63,3,,Research Scientist,3,Married,2942,,2,Y,No,19,3,2,80,1,18,,3,5.0,4,0.0,3
36.0,No,Travel_Rarely,796,Research & Development,12.0,5,Medical,1,1073,4.0,Female,51,2,3.0,Manufacturing Director,4,Single,8858,15669.0,0,Y,No,11,3,2,80,0,15,2.0,2,,8,,8
,No,Non-Travel,444,Research & Development,,1,Medical,1,1074,,Male,40,2,4.0,Manager,1,,16756,17323.0,7,Y,No,15,3,2,80,0,31,,4,,7,,2
43.0,No,Travel_Rarely,415,Sales,,3,Medical,1,1076,3.0,Male,79,2,3.0,Sales Executive,4,,10798,,5,Y,No,13,3,3,80,1,18,5.0,3,1.0,0,0.0,0
,Yes,Travel_Frequently,769,Sales,9.0,3,Marketing,1,1077,4.0,Female,54,3,1.0,Sales Representative,4,,2323,,1,Y,Yes,14,3,2,80,0,2,3.0,3,2.0,2,0.0,2
,Yes,Travel_Rarely,1334,Research & Development,,3,Life Sciences,1,1079,,Female,36,2,1.0,Laboratory Technician,1,,1416,,1,Y,No,13,3,1,80,0,1,6.0,2,1.0,0,1.0,0
46.0,No,Travel_Rarely,1003,Research & Development,8.0,4,Life Sciences,1,1080,4.0,Female,74,2,2.0,Research Scientist,1,Divorced,4615,,8,Y,Yes,23,4,1,80,3,19,2.0,3,16.0,13,1.0,7
,Yes,Travel_Rarely,1323,Research & Development,4.0,4,Life Sciences,1,1081,,Male,34,3,1.0,Research Scientist,3,,2461,,9,Y,Yes,12,3,3,80,3,18,2.0,4,10.0,0,2.0,7
28.0,Yes,Non-Travel,1366,Research & Development,24.0,2,Technical Degree,1,1082,2.0,Male,72,2,3.0,Healthcare Representative,1,Single,8722,,1,Y,No,12,3,1,80,0,10,,2,,7,1.0,9
,No,Travel_Rarely,192,Research & Development,1.0,2,Medical,1,1083,,Male,59,2,1.0,Laboratory Technician,1,,3955,11141.0,1,Y,No,16,3,1,80,2,6,,3,5.0,3,1.0,3
30.0,No,Travel_Rarely,1176,Research & Development,20.0,3,Other,1,1084,3.0,Male,85,3,2.0,Manufacturing Director,1,Married,9957,9096.0,0,Y,No,15,3,3,80,1,7,1.0,2,6.0,2,0.0,2
41.0,No,Travel_Rarely,509,Research & Development,7.0,2,Technical Degree,1,1085,2.0,Female,43,4,1.0,Research Scientist,3,,3376,18863.0,1,Y,No,13,3,3,80,0,10,3.0,3,,6,0.0,8
,No,Travel_Rarely,330,Research & Development,,1,Life Sciences,1,1088,3.0,Female,65,2,3.0,Healthcare Representative,3,Married,8823,,0,Y,No,18,3,1,80,1,20,4.0,2,,9,1.0,9
40.0,No,Travel_Rarely,1492,Research & Development,20.0,4,Technical Degree,1,1092,1.0,Male,61,3,3.0,Healthcare Representative,4,Married,10322,,4,Y,No,20,4,4,80,1,14,6.0,3,,10,11.0,1
,No,Non-Travel,1277,Research & Development,,5,Life Sciences,1,1094,1.0,Male,87,1,1.0,Laboratory Technician,3,,4621,5869.0,1,Y,No,19,3,4,80,3,3,,3,3.0,2,,2
,No,Travel_Frequently,1091,Research & Development,,1,Life Sciences,1,1096,4.0,Male,65,3,3.0,Manufacturing Director,2,Married,10976,,3,Y,No,18,3,2,80,1,23,,3,3.0,2,1.0,2
28.0,No,Travel_Rarely,857,Research & Development,,3,Other,1,1097,,Female,59,3,2.0,Research Scientist,3,,3660,7909.0,3,Y,No,13,3,4,80,0,10,,4,,7,1.0,7
44.0,Yes,Travel_Rarely,1376,Human Resources,1.0,2,Medical,1,1098,2.0,Male,91,2,3.0,Human Resources,1,,10482,2326.0,9,Y,No,14,3,4,80,1,24,,3,20.0,6,3.0,6
33.0,No,Travel_Rarely,654,Research & Development,5.0,3,Life Sciences,1,1099,,Male,34,2,3.0,Healthcare Representative,4,Divorced,7119,,4,Y,No,15,3,3,80,1,9,,3,3.0,2,1.0,2
,Yes,Travel_Rarely,1204,Sales,4.0,3,Technical Degree,1,1100,,Male,86,3,3.0,Sales Executive,1,,9582,,0,Y,Yes,22,4,1,80,0,9,2.0,3,8.0,7,4.0,7
33.0,Yes,Travel_Frequently,827,Research & Development,,4,Medical,1,1101,,Female,54,2,2.0,Research Scientist,3,,4508,3129.0,1,Y,No,22,4,2,80,0,14,4.0,3,,7,,8
,No,Travel_Rarely,895,Research & Development,15.0,2,Life Sciences,1,1102,1.0,Male,50,3,1.0,Laboratory Technician,3,Divorced,2207,22482.0,1,Y,No,16,3,4,80,1,4,5.0,2,4.0,2,2.0,2
34.0,No,Travel_Frequently,618,Research & Development,,1,Life Sciences,1,1103,,Male,45,3,2.0,Healthcare Representative,4,,7756,,0,Y,No,17,3,3,80,0,7,1.0,2,6.0,2,,4
37.0,No,Travel_Rarely,309,Sales,10.0,4,Life Sciences,1,1105,4.0,Female,88,2,2.0,Sales Executive,4,Divorced,6694,,2,Y,Yes,14,3,3,80,3,8,,3,1.0,0,0.0,0
,Yes,Travel_Rarely,1219,Research & Development,4.0,1,Technical Degree,1,1106,,Male,32,3,1.0,Laboratory Technician,4,Married,3691,4605.0,1,Y,Yes,15,3,2,80,1,7,,4,7.0,7,,6
,Yes,Travel_Rarely,1330,Research & Development,21.0,3,Medical,1,1107,1.0,Male,37,3,1.0,Laboratory Technician,3,Divorced,2377,19373.0,1,Y,No,20,4,3,80,1,1,,2,,1,0.0,0
33.0,Yes,Travel_Rarely,1017,Research & Development,25.0,3,Medical,1,1108,1.0,Male,55,2,1.0,Research Scientist,2,Single,2313,2993.0,4,Y,Yes,20,4,2,80,0,5,0.0,3,2.0,2,2.0,2
,No,Travel_Rarely,469,Research & Development,,2,Medical,1,1109,4.0,Male,35,3,4.0,Manager,1,,17665,14399.0,0,Y,No,17,3,4,80,1,23,,3,22.0,6,13.0,7
,Yes,Travel_Frequently,1009,Research & Development,1.0,3,Medical,1,1111,1.0,Male,45,2,1.0,Laboratory Technician,2,,2596,7160.0,1,Y,No,15,3,1,80,2,1,2.0,3,1.0,0,0.0,0
50.0,Yes,Travel_Frequently,959,Sales,,4,Other,1,1113,4.0,Male,81,3,2.0,Sales Executive,3,Single,4728,17251.0,3,Y,Yes,14,3,4,80,0,5,4.0,3,0.0,0,0.0,0
,No,Travel_Frequently,970,Sales,7.0,3,Life Sciences,1,1114,4.0,Female,30,3,,Sales Executive,2,,4302,13401.0,0,Y,No,17,3,3,80,1,4,3.0,3,3.0,2,,2
34.0,No,Non-Travel,697,Research & Development,,4,Life Sciences,1,1115,3.0,Male,40,2,,Research Scientist,4,Married,2979,,3,Y,No,17,3,4,80,3,6,,3,0.0,0,0.0,0
48.0,No,Non-Travel,1262,Research & Development,1.0,4,Medical,1,1116,1.0,Male,35,4,4.0,Manager,4,Single,16885,,2,Y,No,22,4,3,80,0,27,,2,,4,,1
,No,Non-Travel,1050,Sales,9.0,4,Life Sciences,1,1117,,Female,65,2,2.0,Sales Executive,3,,5593,,1,Y,No,13,3,4,80,1,15,2.0,3,,10,4.0,12
52.0,No,Travel_Rarely,994,Research & Development,7.0,4,Life Sciences,1,1118,2.0,Male,87,3,,Healthcare Representative,2,,10445,15322.0,7,Y,No,19,3,4,80,0,18,4.0,3,8.0,6,4.0,0
,No,Travel_Rarely,770,Sales,10.0,4,Marketing,1,1119,3.0,Male,73,2,3.0,Sales Executive,3,Divorced,8740,,0,Y,Yes,14,3,2,80,2,9,,3,8.0,7,,7
29.0,No,Travel_Rarely,1107,Research & Development,,4,Life Sciences,1,1120,3.0,Female,93,3,1.0,Research Scientist,4,,2514,26968.0,4,Y,No,22,4,1,80,1,11,1.0,3,,5,1.0,7
28.0,No,Travel_Rarely,950,Research & Development,,3,Medical,1,1121,,Female,93,3,3.0,Manufacturing Director,2,,7655,8039.0,0,Y,No,17,3,2,80,3,10,3.0,2,9.0,7,,7
,No,Travel_Rarely,406,Sales,3.0,1,Marketing,1,1124,1.0,Male,52,3,,Manager,3,Married,17465,15596.0,3,Y,No,12,3,4,80,1,23,,3,12.0,9,,9
38.0,No,Travel_Rarely,130,Sales,2.0,2,Marketing,1,1125,4.0,Male,32,3,3.0,Sales Executive,2,,7351,,7,Y,No,16,3,3,80,0,10,2.0,3,,0,0.0,0
43.0,No,Travel_Frequently,1082,Research & Development,,3,Life Sciences,1,1126,,Female,83,3,,Manufacturing Director,1,Married,10820,11535.0,8,Y,No,11,3,3,80,1,18,1.0,3,,7,0.0,1
39.0,Yes,Travel_Frequently,203,Research & Development,2.0,3,Life Sciences,1,1127,,Male,84,3,,Healthcare Representative,4,Divorced,12169,13547.0,7,Y,No,11,3,4,80,3,21,4.0,3,,7,,5
40.0,No,Travel_Rarely,1308,Research & Development,14.0,3,Medical,1,1128,,Male,44,2,5.0,Research Director,3,,19626,,1,Y,No,14,3,1,80,0,21,2.0,4,20.0,7,4.0,9
21.0,No,Travel_Rarely,984,Research & Development,,1,Technical Degree,1,1131,4.0,Female,70,2,1.0,Research Scientist,2,,2070,25326.0,1,Y,Yes,11,3,3,80,0,2,,4,2.0,2,2.0,2
,No,Non-Travel,439,Research & Development,9.0,3,Life Sciences,1,1132,3.0,Male,70,3,2.0,Laboratory Technician,2,Single,6782,,9,Y,No,15,3,3,80,0,9,2.0,2,,4,0.0,3
36.0,No,Non-Travel,217,Research & Development,,4,Life Sciences,1,1133,1.0,Male,78,3,2.0,Manufacturing Director,4,,7779,23238.0,2,Y,No,20,4,1,80,0,18,0.0,3,11.0,9,0.0,9
31.0,No,Travel_Frequently,793,Sales,20.0,3,Life Sciences,1,1135,,Male,67,4,1.0,Sales Representative,4,Married,2791,21981.0,0,Y,No,12,3,1,80,1,3,,3,,2,2.0,2
28.0,No,Travel_Rarely,1451,Research & Development,,1,Life Sciences,1,1136,1.0,Male,67,2,,Research Scientist,2,,3201,,0,Y,No,17,3,1,80,0,6,2.0,1,,3,0.0,4
35.0,No,Travel_Frequently,1182,Sales,11.0,2,Marketing,1,1137,,Male,54,3,,Sales Executive,4,Divorced,4968,18500.0,1,Y,No,11,3,4,80,1,5,3.0,3,,2,,2
49.0,No,Travel_Rarely,174,Sales,8.0,4,Technical Degree,1,1138,,Male,56,2,,Sales Executive,2,Married,13120,,6,Y,No,17,3,2,80,1,22,,3,,8,2.0,3
34.0,No,Travel_Frequently,1003,Research & Development,2.0,2,Life Sciences,1,1140,,Male,95,3,,Manufacturing Director,3,Single,4033,,2,Y,No,11,3,4,80,0,5,3.0,2,3.0,2,0.0,2
,No,Travel_Frequently,490,Research & Development,10.0,3,Life Sciences,1,1143,,Female,61,3,,Research Scientist,2,,3291,17940.0,0,Y,No,14,3,4,80,2,8,2.0,2,,5,,1
,No,Travel_Rarely,188,Research & Development,29.0,3,Medical,1,1148,,Male,56,1,2.0,Laboratory Technician,4,Single,4272,,4,Y,No,19,3,1,80,0,16,,3,1.0,0,,0
29.0,No,Travel_Rarely,718,Research & Development,,1,Medical,1,1150,,Male,79,2,2.0,Manufacturing Director,4,,5056,,1,Y,Yes,15,3,3,80,1,10,,2,10.0,7,,2
38.0,No,Travel_Rarely,433,Human Resources,,3,Human Resources,1,1152,3.0,Male,37,4,1.0,Human Resources,3,Married,2844,6004.0,1,Y,No,13,3,4,80,1,7,2.0,4,7.0,6,5.0,0
28.0,No,Travel_Frequently,773,Research & Development,6.0,3,Life Sciences,1,1154,3.0,Male,39,2,1.0,Research Scientist,3,Divorced,2703,22088.0,1,Y,Yes,14,3,4,80,1,3,2.0,3,3.0,1,0.0,2
,Yes,Non-Travel,247,Research & Development,8.0,1,Medical,1,1156,3.0,Male,80,3,1.0,Laboratory Technician,3,Single,1904,13556.0,1,Y,No,12,3,4,80,0,0,,3,,0,,0
33.0,Yes,Travel_Rarely,603,Sales,9.0,4,Marketing,1,1157,,Female,77,3,2.0,Sales Executive,1,Single,8224,18385.0,0,Y,Yes,17,3,1,80,0,6,,3,5.0,2,,3
41.0,No,Travel_Rarely,167,Research & Development,12.0,4,Life Sciences,1,1158,2.0,Male,46,3,,Laboratory Technician,4,,4766,,3,Y,Yes,11,3,1,80,1,6,,3,1.0,0,0.0,0
,Yes,Travel_Frequently,874,Research & Development,15.0,3,Medical,1,1160,,Male,72,3,1.0,Laboratory Technician,3,,2610,6233.0,1,Y,No,12,3,3,80,1,2,,2,2.0,2,,2
37.0,No,Travel_Rarely,367,Research & Development,,2,Medical,1,1161,,Female,52,2,2.0,Healthcare Representative,4,,5731,,7,Y,No,13,3,3,80,2,9,2.0,3,6.0,2,1.0,3
,No,Travel_Rarely,199,Research & Development,,3,Life Sciences,1,1162,4.0,Male,55,2,,Research Scientist,3,Married,2539,7950.0,1,Y,No,13,3,3,80,1,4,0.0,3,4.0,2,2.0,2
34.0,No,Travel_Rarely,1400,Sales,9.0,1,Life Sciences,1,1163,2.0,Female,70,3,,Sales Executive,3,,5714,,1,Y,No,20,4,1,80,0,6,3.0,2,,5,1.0,3
35.0,No,Travel_Rarely,528,Human Resources,8.0,4,Technical Degree,1,1164,3.0,Male,100,3,,Human Resources,3,Single,4323,,1,Y,No,17,3,2,80,0,6,,1,5.0,4,1.0,4
29.0,Yes,Travel_Rarely,408,Sales,,1,Life Sciences,1,1165,4.0,Female,45,2,,Sales Executive,1,Married,7336,,1,Y,No,13,3,1,80,1,11,3.0,1,,8,,10
,No,Travel_Frequently,593,Research & Development,,4,Medical,1,1166,2.0,Female,88,3,3.0,Research Director,3,,13499,13782.0,9,Y,No,17,3,3,80,0,20,,2,,7,2.0,13
42.0,Yes,Travel_Frequently,481,Sales,12.0,3,Life Sciences,1,1167,3.0,Male,44,3,4.0,Sales Executive,1,,13758,,0,Y,Yes,12,3,2,80,0,22,,2,,9,13.0,14
42.0,No,Travel_Rarely,647,Sales,,4,Marketing,1,1171,,Male,45,3,2.0,Sales Executive,1,,5155,2253.0,7,Y,No,13,3,4,80,0,9,3.0,4,,4,1.0,5
35.0,No,Travel_Rarely,982,Research & Development,,4,Medical,1,1172,,Male,58,2,1.0,Laboratory Technician,3,,2258,,6,Y,No,12,3,2,80,1,10,,3,8.0,0,1.0,7
,No,Travel_Rarely,477,Research & Development,24.0,3,Medical,1,1173,4.0,Male,49,3,1.0,Laboratory Technician,2,,3597,,8,Y,No,22,4,4,80,0,6,2.0,3,4.0,3,1.0,2
,Yes,Travel_Rarely,1485,Research & Development,12.0,1,Life Sciences,1,1175,,Female,79,3,1.0,Laboratory Technician,4,Married,2515,,1,Y,Yes,11,3,4,80,0,1,4.0,2,,1,0.0,0
26.0,No,Travel_Rarely,1384,Research & Development,,4,Medical,1,1177,,Male,82,4,,Laboratory Technician,4,Married,4420,13421.0,1,Y,No,22,4,2,80,1,8,2.0,3,8.0,7,0.0,7
30.0,No,Travel_Rarely,852,Sales,10.0,3,Marketing,1,1179,3.0,Male,72,2,2.0,Sales Executive,3,Married,6578,2706.0,1,Y,No,18,3,1,80,1,10,,3,,3,1.0,4
40.0,No,Travel_Frequently,902,Research & Development,26.0,2,Medical,1,1180,3.0,Female,92,2,2.0,Research Scientist,4,,4422,21203.0,3,Y,Yes,13,3,4,80,1,16,3.0,1,1.0,1,,0
35.0,No,Travel_Rarely,819,Research & Development,2.0,3,Life Sciences,1,1182,3.0,Male,44,2,,Manufacturing Director,2,,10274,19588.0,2,Y,No,18,3,2,80,1,15,2.0,4,7.0,7,6.0,4
34.0,No,Travel_Frequently,669,Research & Development,1.0,3,Medical,1,1184,4.0,Male,97,2,2.0,Healthcare Representative,1,,5343,25755.0,0,Y,No,20,4,3,80,0,14,,3,13.0,9,,9
,No,Travel_Frequently,636,Research & Development,4.0,4,Other,1,1185,4.0,Male,47,2,1.0,Laboratory Technician,4,Married,2376,26537.0,1,Y,No,13,3,2,80,1,2,2.0,4,,2,,2
43.0,Yes,Travel_Rarely,1372,Sales,9.0,3,Marketing,1,1188,1.0,Female,85,1,,Sales Executive,3,,5346,,8,Y,No,13,3,2,80,0,7,2.0,2,,3,,3
32.0,No,Non-Travel,862,Sales,2.0,1,Life Sciences,1,1190,3.0,Female,76,3,1.0,Sales Representative,1,Divorced,2827,14947.0,1,Y,No,12,3,3,80,3,1,,3,1.0,0,0.0,0
,No,Travel_Rarely,718,Research & Development,4.0,4,Technical Degree,1,1191,4.0,Female,92,3,5.0,Manager,1,Divorced,19943,18575.0,4,Y,No,13,3,4,80,1,28,,3,,2,,2
29.0,No,Travel_Rarely,1401,Research & Development,,1,Medical,1,1192,2.0,Female,54,3,1.0,Laboratory Technician,4,Married,3131,26342.0,1,Y,No,13,3,1,80,1,10,,3,10.0,8,0.0,8
19.0,No,Travel_Rarely,645,Research & Development,,2,Life Sciences,1,1193,,Male,54,3,1.0,Research Scientist,1,,2552,7172.0,1,Y,No,25,4,3,80,0,1,,3,1.0,1,0.0,0
,No,Travel_Rarely,1457,Research & Development,7.0,3,Medical,1,1195,1.0,Female,83,3,,Research Scientist,3,,4477,20100.0,4,Y,Yes,19,3,3,80,1,7,2.0,2,3.0,2,,2
,No,Travel_Rarely,977,Research & Development,1.0,3,Life Sciences,1,1196,4.0,Female,56,2,2.0,Manufacturing Director,4,,6474,,1,Y,No,13,3,2,80,1,14,2.0,2,,8,,11
20.0,No,Travel_Rarely,805,Research & Development,,3,Life Sciences,1,1198,1.0,Male,87,2,1.0,Laboratory Technician,3,,3033,,1,Y,No,12,3,1,80,0,2,2.0,2,,2,1.0,2
44.0,Yes,Travel_Rarely,1097,Research & Development,10.0,4,Life Sciences,1,1200,3.0,Male,96,3,1.0,Research Scientist,3,Single,2936,,1,Y,Yes,11,3,3,80,0,6,4.0,3,6.0,4,0.0,2
,No,Travel_Rarely,1223,Research & Development,7.0,2,Medical,1,1201,4.0,Female,50,3,5.0,Manager,3,Divorced,18606,18640.0,3,Y,No,18,3,2,80,1,26,,3,7.0,7,,7
,No,Travel_Rarely,942,Research & Development,15.0,1,Life Sciences,1,1202,2.0,Female,69,1,1.0,Research Scientist,4,Married,2168,,0,Y,Yes,18,3,1,80,1,6,2.0,2,5.0,4,1.0,3
22.0,Yes,Travel_Frequently,1256,Research & Development,3.0,4,Life Sciences,1,1203,3.0,Male,48,2,1.0,Research Scientist,4,,2853,,0,Y,Yes,11,3,2,80,1,1,5.0,3,,0,,0
46.0,No,Travel_Rarely,1402,Sales,,3,Marketing,1,1204,3.0,Female,69,3,4.0,Manager,1,Married,17048,,8,Y,No,23,4,1,80,0,28,2.0,3,,15,15.0,9
44.0,No,Non-Travel,111,Research & Development,,3,Life Sciences,1,1206,4.0,Male,74,1,1.0,Research Scientist,3,Single,2290,4279.0,2,Y,No,13,3,4,80,0,6,,3,0.0,0,0.0,0
33.0,No,Travel_Rarely,147,Human Resources,2.0,3,Human Resources,1,1207,2.0,Male,99,3,1.0,Human Resources,3,Married,3600,8429.0,1,Y,No,13,3,4,80,1,5,,3,5.0,4,1.0,4
41.0,Yes,Non-Travel,906,Research & Development,,2,Life Sciences,1,1210,,Male,95,2,1.0,Research Scientist,1,Divorced,2107,20293.0,6,Y,No,17,3,1,80,1,5,2.0,1,1.0,0,0.0,0
30.0,No,Travel_Rarely,1329,Sales,29.0,4,Life Sciences,1,1211,,Male,61,3,,Sales Executive,1,Divorced,4115,13192.0,8,Y,No,19,3,3,80,3,8,3.0,3,4.0,3,,3
40.0,No,Travel_Frequently,1184,Sales,,4,Medical,1,1212,2.0,Male,62,3,2.0,Sales Executive,2,Married,4327,25440.0,5,Y,No,12,3,4,80,3,5,2.0,3,0.0,0,,0
,No,Travel_Frequently,1421,Research & Development,,3,Medical,1,1215,4.0,Female,30,3,,Manager,1,Married,17856,9490.0,2,Y,No,22,4,3,80,1,32,,3,2.0,2,,2
28.0,No,Travel_Rarely,1179,Research & Development,,4,Medical,1,1216,,Male,78,2,1.0,Laboratory Technician,1,Married,3196,,1,Y,No,12,3,3,80,3,6,2.0,3,,5,3.0,3
,No,Travel_Rarely,1450,Research & Development,,2,Life Sciences,1,1217,4.0,Male,52,3,,Research Director,2,,19081,10849.0,5,Y,No,11,3,1,80,1,25,2.0,3,4.0,2,0.0,3
35.0,No,Travel_Rarely,1361,Sales,17.0,4,Life Sciences,1,1218,3.0,Male,94,3,2.0,Sales Executive,1,Married,8966,21026.0,3,Y,Yes,15,3,4,80,3,15,,3,,7,1.0,7
24.0,Yes,Travel_Rarely,984,Research & Development,17.0,2,Life Sciences,1,1219,,Female,97,3,1.0,Laboratory Technician,2,Married,2210,,1,Y,No,13,3,1,80,1,1,3.0,1,1.0,0,0.0,0
33.0,No,Travel_Frequently,1146,Sales,,3,Medical,1,1220,2.0,Female,82,3,2.0,Sales Executive,3,Married,4539,,1,Y,No,12,3,1,80,1,10,3.0,2,10.0,7,,1
,No,Travel_Rarely,917,Research & Development,6.0,4,Life Sciences,1,1221,3.0,Male,60,1,1.0,Laboratory Technician,3,Divorced,2741,,1,Y,No,14,3,3,80,1,7,4.0,3,,7,,7
30.0,No,Travel_Rarely,853,Research & Development,7.0,4,Life Sciences,1,1224,3.0,Male,49,3,,Laboratory Technician,3,,3491,11309.0,1,Y,No,13,3,1,80,3,10,4.0,2,10.0,7,,9
,No,Travel_Rarely,200,Research & Development,,4,Other,1,1225,4.0,Male,32,3,,Research Scientist,4,Single,4541,7744.0,1,Y,No,25,4,2,80,0,20,3.0,3,,11,13.0,17
,No,Travel_Rarely,654,Sales,21.0,3,Marketing,1,1226,3.0,Male,43,4,1.0,Sales Representative,4,Single,2678,5050.0,1,Y,No,17,3,4,80,0,2,2.0,3,,1,2.0,2
46.0,No,Travel_Rarely,150,Research & Development,,4,Technical Degree,1,1228,4.0,Male,60,3,2.0,Manufacturing Director,4,Divorced,7379,17433.0,2,Y,No,11,3,3,80,1,12,3.0,2,,3,,4
42.0,No,Non-Travel,179,Human Resources,2.0,5,Medical,1,1231,,Male,79,4,2.0,Human Resources,1,,6272,12858.0,7,Y,No,16,3,1,80,1,10,3.0,4,4.0,3,0.0,3
60.0,No,Travel_Rarely,696,Sales,7.0,4,Marketing,1,1233,2.0,Male,52,4,2.0,Sales Executive,4,Divorced,5220,,0,Y,Yes,18,3,2,80,1,12,3.0,3,,7,1.0,9
32.0,No,Travel_Frequently,116,Research & Development,,3,Other,1,1234,3.0,Female,77,2,1.0,Laboratory Technician,2,Married,2743,7331.0,1,Y,No,20,4,3,80,1,2,2.0,3,2.0,2,,2
,No,Travel_Frequently,1316,Research & Development,2.0,2,Life Sciences,1,1235,,Female,38,3,2.0,Research Scientist,3,,4998,2338.0,4,Y,Yes,14,3,4,80,0,10,2.0,3,8.0,7,0.0,7
,No,Travel_Rarely,363,Research & Development,1.0,3,Technical Degree,1,1237,3.0,Female,77,1,3.0,Manufacturing Director,1,,10252,4235.0,2,Y,Yes,21,4,3,80,1,17,2.0,3,7.0,7,7.0,7
,No,Travel_Rarely,117,Research & Development,9.0,3,Medical,1,1238,1.0,Male,60,3,1.0,Research Scientist,4,Married,2781,,0,Y,No,13,3,2,80,1,15,5.0,3,14.0,10,4.0,10
40.0,No,Travel_Rarely,107,Sales,,3,Technical Degree,1,1239,2.0,Female,84,2,,Sales Executive,2,Divorced,6852,11591.0,7,Y,No,12,3,2,80,1,7,2.0,4,5.0,1,1.0,3
25.0,No,Travel_Rarely,1356,Sales,,4,Life Sciences,1,1240,,Male,57,3,,Sales Executive,4,Single,4950,,0,Y,No,14,3,2,80,0,5,,3,4.0,3,1.0,1
